"entity","year","strategic_present","social_present","strategic_aid_usd2021","social_aid_usd2021","coverage","strategic_share_of_two_family_aid"
"Afghanistan",2014,FALSE,TRUE,0,2950061.86642334,"Social only",NA
"Afghanistan",2015,FALSE,TRUE,0,14992657.9113782,"Social only",NA
"Afghanistan",2016,FALSE,TRUE,0,43304618.3133107,"Social only",NA
"Afghanistan",2017,FALSE,TRUE,0,88912157.8849741,"Social only",NA
"Afghanistan",2018,FALSE,TRUE,0,506496.645858367,"Social only",NA
"Afghanistan",2020,FALSE,TRUE,0,4861875.59472574,"Social only",NA
"Afghanistan",2021,FALSE,TRUE,0,33400000,"Social only",NA
"Albania",2016,FALSE,TRUE,0,1948893.77342829,"Social only",NA
"Albania",2017,FALSE,TRUE,0,4056085.8607782,"Social only",NA
"Albania",2020,FALSE,TRUE,0,163058.20234856,"Social only",NA
"Algeria",2016,FALSE,TRUE,0,17769640.171141,"Social only",NA
"Algeria",2017,FALSE,TRUE,0,34105728.2050665,"Social only",NA
"Algeria",2018,FALSE,TRUE,0,65433.5882894543,"Social only",NA
"Algeria",2020,FALSE,TRUE,0,7590471.00302571,"Social only",NA
"Algeria",2021,FALSE,TRUE,0,61200000,"Social only",NA
"Angola",2013,TRUE,TRUE,4269476743.51534,389895973.904334,"Both families funded",0.916320071917266
"Angola",2014,TRUE,TRUE,2338185128.73472,62887.7457803049,"Both families funded",0.999973104758205
"Angola",2015,TRUE,TRUE,2391349592.63209,503937441.529231,"Both families funded",0.825945602082522
"Angola",2016,TRUE,TRUE,15882221603.4518,907147332.241488,"Both families funded",0.94596894405525
"Angola",2017,TRUE,TRUE,508526828.693356,185906714.872194,"Both families funded",0.732290128271079
"Angola",2018,TRUE,TRUE,2073847722.38071,88027954.3212102,"Both families funded",0.959281675967832
"Angola",2019,FALSE,TRUE,0,151038289.771572,"Social only",NA
"Angola",2020,TRUE,TRUE,55841850.1193699,1251882.35323121,"Both families funded",0.978073208756636
"Angola",2021,FALSE,TRUE,0,83300000,"Social only",NA
"Antigua and Barbuda",2013,TRUE,TRUE,51368731.7982049,6971470.7440421,"Both families funded",0.880503144654088
"Antigua and Barbuda",2014,FALSE,TRUE,0,11070952.3140848,"Social only",NA
"Antigua and Barbuda",2015,FALSE,TRUE,0,1413331.50368497,"Social only",NA
"Antigua and Barbuda",2016,TRUE,FALSE,106617841.026846,0,"Strategic only",NA
"Antigua and Barbuda",2017,FALSE,TRUE,0,201659.17747867,"Social only",NA
"Antigua and Barbuda",2018,TRUE,TRUE,6539098.48727206,57156564.555415,"Both families funded",0.102661596958175
"Antigua and Barbuda",2019,FALSE,TRUE,0,39268803.6972384,"Social only",NA
"Antigua and Barbuda",2021,FALSE,TRUE,0,360000,"Social only",NA
"Argentina",2013,TRUE,FALSE,4051117.77079396,0,"Strategic only",NA
"Argentina",2014,TRUE,FALSE,5464317611.04366,0,"Strategic only",NA
"Argentina",2015,TRUE,FALSE,64130032.5441622,0,"Strategic only",NA
"Argentina",2016,TRUE,TRUE,633217718.453124,59069745.5306323,"Both families funded",0.914674541135388
"Argentina",2017,TRUE,FALSE,1579180548.26974,0,"Strategic only",NA
"Argentina",2018,TRUE,TRUE,247341400.281065,19072370.5878768,"Both families funded",0.928410717938229
"Argentina",2019,TRUE,FALSE,1252774542.67228,0,"Strategic only",NA
"Argentina",2020,TRUE,TRUE,12564416.2768582,13347435.4369154,"Both families funded",0.484890713934562
"Argentina",2021,TRUE,TRUE,44500000,5342000,"Both families funded",0.892821315356527
"Armenia",2014,FALSE,TRUE,0,14985251.4230783,"Social only",NA
"Armenia",2015,FALSE,TRUE,0,10783684.2256936,"Social only",NA
"Armenia",2017,FALSE,TRUE,0,17052864.1025332,"Social only",NA
"Armenia",2020,FALSE,TRUE,0,185180.330997928,"Social only",NA
"Armenia",2021,FALSE,TRUE,0,1800000,"Social only",NA
"Azerbaijan",2014,TRUE,FALSE,5390378.20974042,0,"Strategic only",NA
"Azerbaijan",2015,TRUE,FALSE,604648408.622052,0,"Strategic only",NA
"Azerbaijan",2016,FALSE,TRUE,0,16649343.5678543,"Social only",NA
"Azerbaijan",2017,TRUE,FALSE,49389213.4099188,0,"Strategic only",NA
"Azerbaijan",2018,TRUE,FALSE,170221663.744569,0,"Strategic only",NA
"Azerbaijan",2019,TRUE,FALSE,40743823.5344619,0,"Strategic only",NA
"Azerbaijan",2020,FALSE,TRUE,0,945844.563369269,"Social only",NA
"Azerbaijan",2021,TRUE,TRUE,152960000,2700000,"Both families funded",0.982654503404857
"Bahamas",2014,FALSE,TRUE,0,1190127.37376412,"Social only",NA
"Bahamas",2015,FALSE,TRUE,0,167840.704922806,"Social only",NA
"Bahamas",2016,FALSE,TRUE,0,28600.2659969503,"Social only",NA
"Bahamas",2020,FALSE,TRUE,0,10866.8240332293,"Social only",NA
"Bahamas",2021,FALSE,TRUE,0,332869.2,"Social only",NA
"Bangladesh",2013,TRUE,TRUE,145814689.065766,229969729.863207,"Both families funded",0.388027501196973
"Bangladesh",2014,TRUE,FALSE,504060458.860283,0,"Strategic only",NA
